"";"id";"invoice";"institution_reference_no";"status";"created_date";"last_modified_date";"created_by";"last_modified_by";"plan";"episode";"invoice_no";"posting_date";"created_by_id";"last_modified_by_id"
"1";"b45ca4de-df6e-4b54-9759-2e739207db46";"4e9c1658-dc18-408d-acf6-8e6e13afec7b";"16Z0150";"PENDING_ACK";"2024-09-03T16:01:53.629";"2024-09-18T11:13:51.855";"System";"System";"e85871cf-3329-4cc7-8b05-2dc6f76f889a";"94434531-9e27-4394-bab7-e8aba81bb675";"400801-08240001";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"2";"5078f1cf-234e-4213-9710-6e24ad66717e";"6b0cc36b-9fcd-4401-97c6-227f666fd17c";"19Z0216";"PENDING_ACK";"2024-09-03T16:02:33.649";"2024-09-18T11:14:51.725";"System";"System";"e02e7d0e-768b-48ad-9280-20e797ad7db6";"b4fa103a-2c36-4f4e-8bc7-b88fd86f2a50";"402101-08240055";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"3";"49de0896-ab4e-406b-beff-95551ba28b3b";"1919c333-1c75-449d-8cc6-793c2aa9fa5b";"19Z0216";"PENDING_ACK";"2024-09-03T16:04:23.598";"2024-09-18T11:14:52.019";"System";"System";"85798f9d-ed53-4049-85f1-8ce6e4c663c0";"fe09ba8a-5be3-4836-9c2c-df676b37d3c6";"402101-08240062";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"4";"8ce6c5f9-9c2d-43d9-a29c-31267325af32";"1aaaff55-0301-4956-9eb8-c19ca1ba8f9f";"16Z0150";"PENDING_ACK";"2024-09-03T16:20:13.594";"2024-09-18T11:14:22.16";"System";"System";"ce03e6ae-c0e6-4f1b-9502-1692b257d530";"da8fad34-8bdc-4ce6-9d90-d4fe548f6cf0";"400801-08240096";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"5";"383ee208-f9db-4d35-8648-d8ba1bcaf2c5";"25db013a-7793-4cff-ad38-ad57dcd83262";"16Z0150";"PENDING_ACK";"2024-09-03T16:27:43.531";"2024-09-18T11:13:51.881";"System";"System";"113cb5b4-45be-49d4-bfda-ace50bc19340";"9d9f5da4-f98b-42c7-918b-76e88efea26b";"400801-08240093";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"6";"b2c6bbe8-a3db-43a2-971d-50b21c31f582";"dc795ae1-e96d-4921-aa03-b3e9ac40acee";"16Z0150";"PENDING_ACK";"2024-09-03T16:34:12.845";"2024-09-18T11:14:21.826";"System";"System";"6c78652d-df63-457f-99df-9fff901bb7a8";"ee520665-3677-4032-b028-a665223bd701";"400801-08240082";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"7";"94cef45b-132d-4100-8d09-7a54e2c0b337";"3c6351db-cfb2-4749-8800-f7d50efcf3c7";"16Z0150";"PENDING_ACK";"2024-09-03T16:35:13.757";"2024-09-18T11:13:51.722";"System";"System";"31a7e9b4-6550-48d4-ad60-89e4bd0c624f";"800274e1-5214-4503-af83-386cc4b8c25c";"400801-08240094";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"8";"e7005a41-7027-4347-8add-7a422d702fc8";"62b8f3a4-d64e-427c-8afc-c1dd4944924b";"16Z0150";"PENDING_ACK";"2024-09-03T16:43:23.165";"2024-09-18T11:14:01.808";"System";"System";"46a7f7ff-2dc3-4ef5-8dde-0c9faad858c1";"30d596b9-38d4-40a0-9dae-c1120806c199";"200802-08240007";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"9";"66def831-2625-4548-a236-7e9ac9a3ca28";"2de1840f-fbf9-41ce-8912-3110e01e66ef";"16Z0150";"PENDING_ACK";"2024-09-03T16:57:23.189";"2024-09-18T11:14:01.664";"System";"System";"eeb4ac95-56e1-4055-8bc5-ef06879f345f";"7819b698-2105-4838-bf55-915ff8597871";"200802-08240008";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"10";"89b61dc7-ee4a-4ec8-8cd5-5c147f013507";"c96a610d-a425-4d7f-bce3-9660b2bb9721";"16Z0150";"PENDING_ACK";"2024-09-03T16:58:22.97";"2024-09-18T11:12:52.148";"System";"System";"54672b3d-c7b1-4b49-9507-ad19dbffd637";"eebb988a-d67b-4fbf-a675-3d3ec12cf011";"400801-08240079";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"11";"2f754e18-2e54-4de6-9222-4f8632c4fe2a";"3ffbbbcc-89a1-4e76-8105-c3964a3eeca9";"16Z0150";"PENDING_ACK";"2024-09-03T17:03:13.518";"2024-09-18T11:14:01.681";"System";"System";"036ac621-8ab4-4fc1-a59a-164c5e5dfb18";"b93d1118-7871-496c-ad42-1f015914b246";"200802-08240049";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"12";"eb8b0458-52dc-4543-8c48-0d41f583ab2b";"b5bda96f-4c58-49bd-ab0f-d0b5c269b4c4";"19Z0216";"PENDING_ACK";"2024-09-03T17:10:23.294";"2024-09-18T11:13:12.015";"System";"System";"5cbeb3e8-a633-494b-81bd-9670c9996979";"e1a148e4-7a90-4f33-b102-dfa7d18c24fb";"202102-08240015";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"13";"0ce27018-7819-447b-ba59-96e0b302545b";"9542e937-abc9-495c-bf42-cec88cb85bde";"16Z0150";"PENDING_ACK";"2024-09-03T17:22:03.557";"2024-09-18T11:13:11.894";"System";"System";"2fcc123a-6e88-483e-a08d-09778ee1691c";"4baa64a1-df72-4700-864a-6ca0becca434";"400801-08240075";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
"14";"4d85709d-cd81-4c45-835b-f2493d518856";"3d88e85d-a4c2-464a-80e4-ff1cc54570e2";"16Z0150";"PENDING_ACK";"2024-09-03T17:28:13.89";"2024-09-18T11:13:11.636";"System";"System";"badcd763-3cb5-4f0c-b986-55e7e42a74b2";"818f2871-a80d-43ea-b17d-7ad774cb859f";"400801-08240043";"2024-08-31";NA;"d9e10859-4beb-4912-a303-f89bb4186c3e"
